from,times,to
Нэнси,1.0,Римус
Мой ГГ,1.0,как получится.
Виктор Крам,1.0,Виктория МакКинон(Блек)
Марлин МакКинон,2.0,Сириус Блек
Александр Йорданов,1.0,Хатшепсут Тантава
Волдеморт,1.0,Джинни Уизли
Василиса Огнева,5.0,Гарри Поттер
human!Нагини,1.0,Гарри Поттер
Draco,4.0,Harry
ОЖП,7.0,Салазар Слизерин
Луна Лавгуд,1.0,Пэнси Паркинсон
Антонин Долохов,1.0,Грелль Сатклифф
Кенга,1.0,Ослик Иа-Иа
fem!Гарри Поттер,1.0,Том Реддл-ст.
Драко Малфой,1.0,ОЖП.
Лора,1.0,Фред
Джозеф Маццелло,1.0,ОЖП
Драко Малфой,1.0,Мари-Виктуар
Августус Руквуд,1.0,Эван Розье
Беллатриса Лестрейндж,4.0,Лорд Волдеморт
Виктор,15.0,Гермиона Грейнджер
Гарри Поттер,1.0,Северус Снейп; Рон Уизли
Драко Малфой,1.0,Хьюго Уизли
Гарри Поттер,2.0,Фред Уизли
Невилл Лонгботтом,3.0,Сьюзен Боунс
Миссис Грейнджер,1.0,Сириус Блэк III
Меропа Мракс,4.0,Том Марволо Реддл
ОМП,1.0,Пэнси Паркинсон
Одри Уизли,6.0,Перси Уизли
 Петуния Эванс,1.0,Сириус Блэк 
БЗ,1.0,ЛЛ
ОЖП,4.0,Скорпиус Малфой
Гарриет Поттер,1.0,Теодор Нотт
Пэнси Паркинсон,12.0,Рон Уизли
Астория Малфой,3.0,Гарри Поттер
Хизаши Ямада,3.0,Шота Айзава
Гарриет Поттер - одностороние,1.0,Теодор Нотт
Ванесса Робишо,1.0,Северус Снейп
Ремус Люпин,1.0,Рита Скитер
Белатрисса Блэк,1.0,Сириус Блэк
Аелина,1.0,Рован
Дафна Гринграсс,3.0,Джордж Уизли
Гермиона Грейнджер,2.0,Римус
Джадис,1.0,Питер Пэвенси
Ногами Нейро,1.0,Яко Кацураги
Лиз,1.0,Мелиодас
Аомине Дайки,1.0,Момои Сацуки
 Гермиона и др.,1.0,Фред
ОМП?,1.0,Помона Спраут
Новый женский персонаж + выдуманные мною персонажи,1.0,Том Реддл
Люциус Малфой,4.0,Невилл Лонгботтом
 Кэти Белл,1.0,Маркус Флинт 
Диппер,1.0,Пасифика
Алекс,1.0,Фред
Мари-Виктуар Уизли,1.0,Теодор Нотт
male!Блейз Забини,1.0,male!Рон Уизли
male!Гарри Поттер,3.0,male!Драко Малфой
fem!Гермиона Грейнджер,1.0,fem!Панси Паркинсон
Люциус Малфой,6.0,Ремус Люпин
Эйвери,1.0,Эммелина Вэнс
Беллатриса Блэк,1.0,Северус Снейп
Саша Рунцис,2.0,Северус Снейп
Теодор Нотт,1.0,Фред Уизли
Джордж Уизли,1.0,Маркус Флинт
Лили Поттер-мл,5.0,Скорпиус Малфой
Гермиона Грейнджер\Рон Уизли,1.0,Драко Малфой
Бартемиус Крауч-ст.,2.0,Миссис Крауч
 Скорпиус Малфой,1.0,Роуз Уизли 
Астория Гринграсс,1.0,Беллатрикс Лестрейндж
Гарри Поттер,1.0,Гермиона Грейджер
Анна Петровна Платонова,1.0,Владимир Иванович Корф
Андрей Петрович Долгорукий,1.0,Наталья Александровна Репнина
Реджина Миллс,1.0,Робин Гуд
Лили Луна Поттер,1.0,Тедди Люпин
Лили Луна Поттер,9.0,Тедди Люпин 
Дино,1.0,Люцифер
Беллатрикс Лестрейндж,5.0,Рудольфус Лестрейндж
Дора,3.0,Ремус
Тендо Сатори,1.0,Ушиджима Вакатоши
Новый Женский Персонаж,2.0,Северус Снейп
Джейми Йетс,1.0,Шон Биггерстафф
Гермиона Грейнджер,1.0,единорог
Гермиона Грейнджер,2.0,Струпьяр 
 Кшиштоф Ковальски,1.0,Луна Лавгуд 
Гарри Поттер,3.0,Салазар
Чонгук,3.0,Юнги
Нико,3.0,Уилл
Ремус,7.0,Тонкс
 ОЖП,1.0,Том Риддл 
Астория Гринграсс,2.0,ОМП
Гарри Поттер,4.0,Невилл Долгопупс
 Роксана Малфой,1.0,Сириус Блэк 
Гарри Поттер,2.0,Драко Малфой и др.
Гемиона,2.0,Драко Малфой
Гермиона грейнджер,1.0,Джордж уизли
Темные и Светлые сущности,1.0,все население магБритании
Невилл Долгопупс,5.0,Ханна Аббот
Александр Крам,1.0,Иви Джексон
Гарри Поттер,3.0,Тор
Лиэль Поттер,1.0,Эдвард
Драко Малфой,1.0,Нарцисса
Альбус Северус Поттер,1.0,НЖП
Ли Минхо,4.0,Хан Джисон
Ли Феликс,4.0,Со Чанбин
Ким Сынмин,2.0,Хван Хёнджин
Бан Кристофер Чан,1.0,Ким Уджин
Блейз,2.0,Луна
Джедайт,2.0,Рей Хино
Брендол Хакс,1.0,Кайло Рен
Илья Курякин,1.0,Наполеон Соло
Гермиона Грейнджер,2.0,Хидан
Блейз Забини,3.0,Северус Снейп
Аберфорт Дамблдор,1.0,Сибилла Трелони
Бенджамин Петерсон,1.0,ОЖП
ОЖП,1.0,Оффендермен
Джокер,1.0,ОЖП
Цукишима Кей,4.0,Ямагучи Тадаши
Гарри Поттер,1.0,Лайза Турпин
ОЖП,1.0,Эдриан Пьюси
ОЖП,12.0,Сириус
Зелья,1.0,Северус Снейп
АД,1.0,СС\ЛВ
Q,1.0,Джеймс Бонд
Сольвейг Норнсенг,1.0,Хенрик Хансен
Барти,1.0,Гарри Поттер
РУ,1.0,СМ
Гермиона Грейнджер,1.0,Перси
Молли Уизли,1.0,Ремус Люпин
ОЖП,4.0,Римус Люпин
Полумна Лавгуд,3.0,Теодор Нотт
Лили Эванс,1.0,Сириус Блэк III
Антон Шастун,4.0,Арсений Попов
Арсений Попов,1.0,Оксана Суркова
Новый женский персонаж,1.0,Чарли Уизли
Клык,1.0,Хагрид
Полумна,1.0,Снейп
 ?,1.0,Мадара Учиха 
Гермиона Грейнджер,14.0,Оливер Вуд
Гарри Поттер,1.0,Лили Эванс
ОЖП- Анасия Поттер,1.0,Сириус Блэк III
ОЖП Анаси Дорея Поттер,1.0,Регулус Блэк I
Винда Розье,1.0,Минерва Макгонагалл
Гарри Поттер,1.0,Роза Малфой
Арагорн,2.0,Гарри Поттер
Боромир,1.0,Фродо Бэггинс
Беллатриса,6.0,Сириус
Антонин Долохов,1.0,Евгения
Евгения,3.0,Люцифер
Беллатрикс Лейстрейндж,1.0,Люциус Малфой
witch!Люси Пэвенси,1.0,Сириус Блэк III
ОЖП,1.0,Эдмунд Пэвенси
Рабадаш,1.0,Сьюзен Пэвенси
Гарри Поттер,1.0,Сьюзен Пэвенси
Констанция Бонасье,1.0,д'Артаньян
НЛ,4.0,СС
Гермиона Грейнджер-Уизли,1.0,Драко Малфой
Люциус Малфой,2.0,Молли Уизли
Драко Малфой,3.0,Кэти Белл
Альбус Северус Поттер,1.0,Дельфини
Доркас Медоуз,5.0,Сириус Блэк
Беллатриса Лестрейндж,10.0,Драко Малфой
Блейз Забини,1.0,ОМП
Десятый Доктор,3.0,Роза Тайлер
Брутус Малфой,1.0,Сивилла Трелони
Анджелина Джонсон,1.0,Брутус Малфой
Альбус Дамблдор,1.0,Мадам Розмерта
ОЖП Эмили,1.0,Роза Уизли
Герда Поттер,1.0,Северус Снейп
fem!Гарри Поттер,2.0,Том Риддл
Беллатриса Лестрейндж,1.0,фоном!Гермиона Грейнджер
fem!Гарри Поттер,1.0,Нимфадора Тонкс
fem!Гарри Поттер,1.0,Флёр Делакур
fem!Гарри Поттер,1.0,Наташа Романофф
Гермиона Грейнджер,6.0,Лорд Волдеморт
Jack Strify,1.0,Severus Snape
Кассиопея Блэк,1.0,Римус Люпин
Лидия Мартин,2.0,Сириус Блэк
Кингсли Шеклболт,1.0,Сириус Блэк
Гарри Поттер,1.0,Ньют Скамандер
Мэри,1.0,Том Риддл
Куросаки Ичиго,1.0,Флёр Делакур
 Гермиона Грейнджер,1.0,Блейз Забини 
Белла,2.0,Ремус
Гарри Поттер,1.0,Дракон
Лили Эванс,3.0,Регулус Блэк
Ли Тэён,1.0,Читтапон Личайяпорнкул
Ким Донён,1.0,Ли Тэён
Оливер Вуд,4.0,Седрик Диггори
Волдеморт,3.0,Северус Снейп
 Лили Поттер-младшая,1.0,Скорпиус Малфой
Артур Пендрагон,3.0,Гвиневра
Питер,1.0,Стайлз
Джаред Эклз,1.0,Эмма Вернер
Аника Майлз,1.0,Дженсен Эклз
Гарри Поттер,1.0,НЖП и др.
НТ,3.0,СС
Северус.,1.0,Снейджер. Гермиона
Алиса Долгопупс,5.0,Френк Долгопупс
Джордж Уизли,2.0,Рон Уизли
Винсент Крэбб,2.0,Рон Уизли
Ксенофилиус Лавгуд,2.0,Том Марволо Реддл
Алексей Губанов,1.0,Владимир Семенюк 
Алексей Губанов,2.0,Владимир Семенюк
Панси Паркинсон,5.0,Фред Уизли
Андромеда,1.0,Регулус
Драко Малфой,1.0,фем!Гарри Поттер
Билл Уизли,2.0,Драко Малфой
Гинтоки Саката,1.0,Тоширо Хиджиката
Парвати Патил,3.0,Теодор Нотт
Альбус Дамблдор,7.0,ОЖП
Гермиона Грейнджер; Гарри Поттер; Рон Уизли; Пэнси Паркинсон,1.0,Драко Малфой
Мелиодас Маджере(ДУБ),1.0,Мираджейн Штраус
Мелиодас Хьюз О’Нейл,1.0,Эльза
Гарри Поттер,1.0,Мозг
Виктор,3.0,Юри
Гермиона Грейнджер,1.0,Мерлин и др.
Лидия Фокс,1.0,Фред Уизли
Б'элан,1.0,Гарри Поттер
ГГ,3.0,ГП 
Вальбурга Блэк,2.0,Орион Блэк 
Джордж Уизли,3.0,Драко Малфой
Гарри Поттерfem!,2.0,Северус Снейп
Гарри Поттер,15.0,Скорпиус Гиперион Малфой
Аргус Филч,2.0,Долорес Амбридж
Драко Малфой,1.0,Констанция Макгонагалл 
НЖП,3.0,Фред Уизли
Аластор Грюм,1.0,Барти Крауч-младший
Гарри Поттер ,1.0,Джинни Уизли
Абигейл Кейтлин Малфой,1.0,Альбус Северус Поттер
Габриэль Белла Малфой,1.0,Тедди Люпин 
Джеймс Сириус Поттер,1.0,Тенли Вуд
Гермиона Грейнджер,18.0,Том Реддл
Гарри Поттер,1.0,Драко и остальные
Гарри Поттер,1.0,Гермиона Грейнждер
Доркас +второстепенные.,1.0,Ремус
Гарри Поттер,1.0,Риддл
fem!Геллерт Гриндельвальд,1.0,Трисс Меригольд
Герда Рассел,1.0,Драко Малфой
Гарри Поттер,1.0,Гермиона Грейнджер в первой части.
Гарри Поттер,1.0,Дракон!Арман
Гарри Поттер,1.0,Скай ; будут добавляться
Драко Малфой,1.0,Роза
Принц Каспиан,1.0,Сьюзен Пэвенси
Гарри Поттер,2.0,Люси Пэвенси
fem!Гарри Поттер,1.0,Беллатриса Лестрейндж
fem!Драко Малфой,2.0,Гермиона Грейнджер
Гарри Поттер,2.0,Луи Уизли
Марион из Лифорда,1.0,Робин из Локсли
Джеймс Сириус Поттер,3.0,Доминик Уизли
Алиса Лонгботтом,2.0,Альбус Северус Поттер
Алиса Лонгботтом,1.0,Хьюго Уизли
 Рон Уизли.,1.0,Гермиона Грейнджер
Невилл Лонгботтом,9.0,Панси Паркинсон
Хайба Лев,2.0,Яку Мориске
Гарри Поттер,7.0,Невилл Лонгботтом
 Джеймс Сайфер,1.0,Николь Деймон 
Гермиона Грейнджер,1.0,Трейси Дэвис
Гермиона Грейнджер,1.0,намеками!Джинни Уизли
Алиса Кингсли,5.0,Таррант Хайтопп
Гермиона Грейнджер,1.0,Таррант Хайтопп
Петуния Дурсль,2.0,Северус Снейп
Беллатрикс Блэк,1.0,Сириус Блэк Нарцисса Блэк
Гермиона Грейнджер,1.0,Кай Паркер
Гермиона Грейнджер,1.0,Маркус
Оливер Вуд,12.0,Перси Уизли
Диана Принс,1.0,Северус Снейп
fem!Гарри,4.0,Драко Малфой
Мия Колуччи,1.0,Пабло Бустаманте
Пилар Дунофф,1.0,Томас Эскурра
 Гарри Поттер и Скорпиус Малфой,1.0,Драко Малфой
Мирон Фёдоров,4.0,Слава Карелин
Ваня Светло,2.0,Иван Евстигнеев
 Беллатриса Лестрейндж,1.0,Драко Малфой 
ГарриПоттер,1.0,Драко Малфой
РС,1.0,СС
Гарри Поттер,8.0,Майкрофт Холмс
гг,1.0,сс
Драко Малфой,1.0,Элисон Марс
Барон,2.0,Елена
Луна Лавгуд,1.0,Элис Каллен
Сириус Блэк III,1.0,Эдди Джордан
Беллатрикс Блэк,2.0,Люциус Малфой
Драко Малфой,1.0,Шарлотта Изабелла Авоид
 ГП,2.0,ЛМ 
Гарольд Певерелл,1.0,Куросаки Ичиго
Анджелина Джонсон,1.0,Дафна Гринграсс
bottom!Люциус Малфой,1.0,top!Долорес Амбридж
CC,1.0,АД
ОЖП,1.0,Теренс Хиггс
Гермиона и куча массовки,1.0,Драко Малфой
Гарри.,1.0,Гермиона Грейнджер
Стар Баттерфляй,1.0,Томас Дракониус Люсайтор
Джеки-Линн Томас,1.0,Марко Убальдо Диаз
Дженна Ордония,1.0,Оскар Грисон
Марко Убальдо Диаз,4.0,Стар Баттерфляй
Джеки-Линн Томас,1.0,ОМП
ОЖП,1.0,Оскар Грисон
Геллерт Гриндевальд,1.0,Персиваль Грейвс
Гормлайт Мракс,1.0,Изольда Сейр
Геллерт Гриндельвальд,1.0,Смерть
 Тонкс,1.0,Люпин
Все из канона и Драко,1.0,Лейврн
Молли Уизли,2.0,Рон Уизли
 Гарри Поттер,1.0,ТЛ 
Джеймс Мориарти,2.0,Шерлок Холмс
Люциус Малфой,3.0,Родольфус Лестрейндж
Драко Малфой,1.0,его любовь
Ньют Скамандер,11.0,ОЖП
Серафина Пиквери,1.0,Торкил Трэверс
альфа!Панси Паркинсон,2.0,омега!Гермиона Грейнджер
Гарри Поттер,1.0,Мэвис Дракула
Никлаус Майклсон,1.0,Стефан Сальваторе
ОЖП,1.0,Феликс Розье
(Гарри)!Джеймс Поттер,1.0,(Гермиона)!Лили Поттер
 Драко Малфой,1.0,Джинни Уизли 
Владимир Владимирович Маяковский,1.0,Сергей Александрович Есенин
Альбус,2.0,Роза
Баки Барнс,3.0,Сэм Уилсон
Брюс Беннер,1.0,Тор
Вирджиния Поттс,1.0,Наташа Романофф
Клинт Бартон,1.0,Лора Бартон
Гарольд Джозеф Хоган,1.0,Мэй Рэйли Паркер
Н'Джадака,1.0,Т'Чалла Удаку
Лили,10.0,Снейп
male!Гермиона Грейнджер,1.0,male!Панси Паркинсон
de-aged!Альбус Дамблдор,1.0,fem!Геллерт Гриндельвальд
Виктор Крам,1.0,Гермиона Грейнджер и все остальные.
ДП,3.0,СС
Луи ,1.0,Северус
Дафна Гринграсс,1.0,Ричард Гордон
Рита Скитер,4.0,Северус Снейп
Бартемиус Крауч-мл.,1.0,Флёр Делакур
Гарри Поттер,2.0,Мариэтта Хорнет
Гермиона Грейнджер,2.0,Грегори Гойл
Люциус Малфой,2.0,Сириус Блэк I
Габриэль,1.0,Чарли
Ли Ён Бок,3.0,Хван Хёнджин
Со Чанбин,1.0,Хван Хёнджин
Арсений Андреевич Чуганин,1.0,Фёдор Михайлович Юрченко
Пеликанцев,1.0,Управленцев
Джинни Уизли,1.0,Рафаэль Сантьяго
Андромеда Тонкс,1.0,Беллатрикс Лестрейндж
Гарри\Драко,1.0,Северус
fem!Сириус Блэк III,1.0,Джеймс Поттер
Альбус Дамблдор,3.0,Зина с огорода
Гарри Поттер,1.0,Снег
Леви Аккерман,2.0,ОЖП
 Виктория Уизли,1.0,Тэд Люпин 
Джейс,1.0,Клэри
Се Лянь,4.0,Хуа Чэн
РОНАЛЬД УИЗЛИ,1.0,СЕВЕРУС СНЕЙП
Аид,1.0,Зелена Миллс
Киллиан Джонс,1.0,Реджина Миллс
Гермиона Грейнддер,1.0,Том Реддл
Исак,1.0,Эван
 сюрприз,1.0,Рон Уизли
Блейз Забини,1.0,Падма Патил
Алекто,1.0,Сириус
fem!Гермиона Грейнджер,8.0,male!Драко Малфой
Джинни Уизли,3.0,Регулус Блэк
Акааши Кейджи,1.0,Куроо Тецуро
ОЖП,1.0,Том Риддл
Альбус Дамблдор,3.0,Торкил Трэверс
Альбус,3.0,Джеймс
Грей Фуллбастер,1.0,Эрза Скарлет
Кана Альберона,1.0,Лаксас Дреяр
Гарри Поттер,1.0,Китнисс
Молли Уизли,1.0,Родольфус Лестрейндж
Нарцисса Малфой,2.0,Рудольф Лестранж
Марлин МакКинон.,2.0,Сириус Блэк
Нимфадора Тонкс,5.0,ОМП
Гарри\Сириус,1.0,Сириус
Алиса Лонгботтом,1.0,Альберт Фоули
Алукард,1.0,Андерсон
Джон Эгберт,1.0,Каркат Вантас
Живоглот,1.0,Минерва Макгонагалл
fem!Гарри Поттер,11.0,Сириус Блэк III
fem!Кацуки Бакуго,1.0,Хичиго Широсаки
Гермиона Грейнджер,2.0,Х
Флёр Делакур,1.0,фоном!Рон Уизли
Гриффиндор,1.0,Слизерин
ЛП,1.0,Немного необычный снэванс СС
?,2.0,ожп
Беллатриса Лестрейндж,1.0,Эдвард Каллен
Моргана Пендрагон,1.0,Салазар Слизерин
Найл Хоран,1.0,ОЖП
fem!Гарри Поттер,2.0,Теодор Нотт
Невилл Лонгботтом,8.0,ОЖП
 Оливер Вуд,2.0,Маркус Флинт 
Минерва Макгонагалл,3.0,Рон Уизли
Барти Крауч-мл,1.0,Беллатрикс Лестрейндж
Гарри Поттер,1.0,Дориан Грей
Марчелло Принц,1.0,Одри Пруэтт
Магнус Нотт,1.0,Одри Моулд Принц
Драко Малфой,1.0,Мортис Феррум
Габриель,2.0,Гарри Поттер
Гию Томиока,3.0,Сабито
БЛ,1.0,ФГ
 Лорд Волан-де-Морт,1.0,Беллатрикс Лестрейндж 
Беллатриса Лестрейндж,1.0,Тентакли
Нарцисса Малфой,1.0,Тентакли
Андромеда Тонкс,1.0,Тентакли
Нимфадора Тонкс,1.0,Тентакли
Лили Поттер,1.0,Тентакли
Дафна Гринграсс,1.0,Тентакли
Тентакли,1.0,Флёр Делакур
Гермиона Грейнджер,1.0,Тентакли
fem!Гарри Поттер,1.0,Тентакли
Луна Лавгуд,1.0,Тентакли
Аполлин Делакур,1.0,Тентакли
Андромеда Блэк,1.0,Тэд Тонкс
Ким Намджун,2.0,Мин Юнги
Гермиона Грейнджер,2.0,Чарли
fem!Гарри Поттер,2.0,Блейз Забини
Волан-де-Морт,7.0,Гарри Поттер
Мелоди Уайт,1.0,Римус Люпин
Геллерт Гриндельвальд,3.0,Том Марволо Реддл
Парень,1.0,ты
 Гермиона Грейнджер,1.0,Дин Томас 
Августа Долгопупс,1.0,Альбус Дамблдор
Нарцисса Малфой,17.0,Сириус Блэк III
?,7.0,ОЖП
Невилл Лонгботтом,1.0,Нимфадора Тонкс
Лаванда Браун,2.0,ОМП
?,2.0,Лили
Беллатриса Лестрейндж,2.0,Невилл Долгопупс
Гарри Поттер,1.0,Фэй Данбар
Гарри Поттер,1.0,Драко Малфой. Родители Драко и Северус Снейп
Ли Хонбин,1.0,Чон Тэгун
Дамблдор,1.0,Северус
Гермиона Грейнджер-Шелдон,1.0,Драко Малфой
На Джемин,1.0,Пак Джисон
Dark!Vamp!Гарри Поттер,1.0,Veela!Драко Малфой
Dreamer!Луна Лавгуд,1.0,ОМП!Vamp!Виктор Годгивен
Elf!Люциус Малфой,1.0,Северус Снейп
Bad!Гермиона Грейнджер,1.0,Bad!Рон Уизли
Лань Хуань,4.0,Цзян Чэн
Лань Юань,2.0,Цзинь Лин
Сюэ Ян,2.0,Сяо Синчэнь
Бань Юэ,1.0,Пэй Су
Хэ Сюань,1.0,Ши Цинсюань
Инь Юй,1.0,Цюань Ичжэнь
Василиса,2.0,Фэш
Гермиона Грейнджер,3.0,Джейкоб Блэк
fem!Гарри Поттер,3.0,Фред Уизли
Артур,1.0,Гарри Поттер
Антарес Блэк,1.0,ОМП
ОМП,1.0,Регулус Принц-Блэк
 Сириус,1.0,Гермиона Грейнджер
Замай,1.0,Соня Мармеладова
... и все остальные,1.0,Гермиона Грейнджер
Беллатриса Лестрейндж,4.0,Ремус Люпин
Альфис,3.0,Андайн
Ким Намджун,1.0,Пак!Ким Сокджин
human!Коннор,1.0,Гэвин Рид
Аи Слизерин ,1.0,Драко Малфой
 ожп,1.0,сириус 
Джордж Уизли,2.0,Оливер Вуд
Люцифер,1.0,Махаллат
Астарот,1.0,Махаллат
Гермиона Грейнджер,1.0,Фэшиар Драгоций
Гермиона Грейнджер,1.0,Маркус Ляхтич
Василиса Огнева,2.0,Маар Броннер
Джинни Уизли,1.0,Нортон Огнев-младший
Джинни Уизли,1.0,Маар Броннер
Ник Лазарев,1.0,Полумна Лавгуд
Диана Фрезер,1.0,Невилл Лонгботтом
Дейла Огнева,4.0,Маркус Ляхтич
Дейла Огнева,1.0,Колин Криви
ЛМ,3.0,НМП
Гермиона Грейнджер,1.0,Драко; Гарри Поттер; Рон и Джинни Уизли;
Лея,1.0,Хан Соло
Кот Баюн,1.0,Минерва Макгонагалл
Джинни Уизли,1.0,Матроскин
Ли Джехван,1.0,Хан Санхёк
Ким Воншик,1.0,Ли Хонбин
Ча Хакён,1.0,Чон Тэгун
...,1.0,Панси Паркинсон
Амелия Понд,2.0,Рори Уильямс
ГП,1.0,Луна; ГГ
Люциус Малфой,1.0,Суровые школьные будни
Джинни Уизли. Гермиона Грейнджер\Фред Уизли. Гарри Поттер\ Северус Снейп.,1.0,Драко Малфой\Грейнджер. Драко Малфой
Джеймс,1.0,Юлия
Магия,1.0,Томас Реддл
Драко Малфой,1.0,Регулус
Гермиона Грейнджер,2.0,Изабелла Свон
Дейенерис Таргариен,1.0,Квентин Мартелл
Арианна Мартелл,1.0,Визерис Таргариен
adult!Арсений Попов,1.0,Антон Шастун
Гермиона Грейнджер,1.0,Намек на Том
Аластор Грюм,1.0,Минерва Макгонагалл
Андромеда Тонкс,1.0,НМП
Корбан Яксли,1.0,Миссис Забини
Корбан Яксли,1.0,Рита Скитер
 Гарри Поттер,1.0,Годрик Гриффиндор
Гарри Поттер,1.0,Кэйко Аяно
Гарри Поттер,2.0,все
Аврора,1.0,незаметно: Северус
Гарри Поттер,4.0,Оливер Вуд
Драко Малфой,1.0,Одностр.!Панси Паркинсон
Грегори Гойл,1.0,Дафна Гринграсс
ГП,1.0,Тор
Астория Гринграсс,2.0,Джинни Уизли
Лили Луна,2.0,Скорпиус
 СС,1.0,ГГ 
Северус Снейп,1.0,Сьюзен Пэвенси
Гермиона Грейнджер,1.0,Гэбриэл Грэй
Альбус Дамблдор,1.0,Распределяющая шляпа
Лили,1.0,Скоприус
Гермиона Грейнджер,1.0,Слизеринец
НЖП,1.0,Салазар Слизерин
Гермиона Грейнджер,1.0,Джордж и Фред
 Гарри Поттер,2.0,Лорд Волдеморт 
Нарцисса Малфой,4.0,Рабастан Лестрейндж
Сириус Блэк III,2.0,Эйвери
 Гарри Поттер,1.0,Люциус Малфой
Волдеморт,4.0,Люциус Малфой
Талия Грейс,1.0,Фредди Джексон
Аннабет Чейз,1.0,Реджинальд Джонс
Франклин Чжан,1.0,Хейзел Левеск
Калипсо Мейсон,1.0,Леонардо Вальдес
Николя ди Анджело,1.0,Уна Соллас
Люк Кастеллан,1.0,Рейна Авилла Рамирес-Арельяно
Октавиан,1.0,Рейчел Элизабет Дэр
Кларисса Ла Ру,1.0,Кристофер Родригез
Бьянка ди Анджело,1.0,Эфан Накамура
Драко.,1.0,Лора
Помона Спраут,2.0,Филиус Флитвик
Македонский,1.0,Полумна Лавгуд
Гермиона Гренджер ,1.0,Фред Уизли .
Алина,1.0,Дима
Лили Полумна Поттер,1.0,Стив Роджерс
Гарри Поттер,1.0,Гермиона Грейнджер; Рон Уизли; Луна Лавгуд; НЖП; НМП; множество канонных лиц; Олимпийцы
Россия,1.0,США
Финляндия,1.0,Эстония
Канада,1.0,Украина
СССР,2.0,Третий Рейх
Перси Уизли,1.0,Полумна Лавгуд
Дирк Джентли,1.0,Тодд Бротцман
Тина Теветино,1.0,Фара Блэк
Аманда Бротцман,1.0,Мартин
Полумна Лавгуд,2.0,Римус Люпин
Доминик Уизли,1.0,Тедди Люпин
Драко Малфой,1.0,Эмили Блэк
Анна Мария Люмьер,1.0,Том Марволо Реддл 
Гермиона Грейнджер,1.0,Джиневра Уизли
Сарр Колдвэлл,1.0,Эйвелин Рэйдселф
Гарри Поттер,2.0,Северус Снегг
Северус Снейп,1.0,намёк на Гермиона Джин Грейнджер
Геральт из Ривии,1.0,Лили Поттер
Йеннифэр из Венгерберга,1.0,Рон Уизли
Джинни Уизли,1.0,Лютик
Джонатан Кайл,1.0,Лонели Кайл
Кэтрин Элинс,1.0,Шерлок Холмс
Коул Майлз,1.0,Сайленс Джейсон
 Cириус Блэк,1.0,Лэрри Поттер
Делфи,1.0,Лили
Кадм,1.0,фем Наруто
Барти Крауч-мл,1.0,Блейз Забини
Гермиона Грейнджер,16.0,Леголас
Друэлла Блэк,1.0,Лорд Волдеморт
Гермиона Грейнджер,2.0,драко
Геллерт Грин-де-Вальд основной .,1.0,ОЖП
гермиона,1.0,северус
fem!Блейз Забини,1.0,fem!Гарри Поттер
 ж,1.0,м 
ГГ и много кто еще,1.0,СС
ОЖП Элизабет Уайт,1.0,Ремус Люпин
Лёша,1.0,Полина
Лея Мейбл Гилл,1.0,Том Марволо Реддл
Зонтик (2),1.0,Северус Снейп
Вару,1.0,Пиковый Король
Астория,3.0,Гарри Поттер
Гермиона Грейнджер,1.0,Дик
Северус Снейп,1.0,намек!Гарри Поттер
 Скорпиус Малфой,2.0,Лили Луна Поттер
ОЖП,4.0,Перси Уизли
Гермиона остальные по канону,1.0,Драко Малфой
Невилл Долгопупс,4.0,Северус Снейп
Драко Малфой,1.0,Эллисон Грей
fem!Драко,3.0,male!Гермиона
ОЖП - Маат,1.0,ОМП - Тот
Гарри Поттер,1.0,Такао
Лили,1.0,Лорд Волдеморт
fem!Северус Снейп,1.0,male!Гермиона Грейнджер
fem!Гарри Поттер,4.0,Мадара Учиха
Арманд Малфой,1.0,Оригинальный женский персонаж
Седрик Диггори,1.0,Эдвард Каллен
Луна,1.0,Флоренц
Айрин Кассини,1.0,Северус Снейп
 Гермиона Гренджер,1.0,Драко Малфой 
Блейз,1.0,Гарри Поттер
Временами Драко,1.0,Гермиона Грейнджер
Волан-де-Морт,1.0,Драко Малфой
Гораций Слизнорт,1.0,Минерва Макгонагалл
Рэрити,1.0,Твайлайт Спаркл
Дискорд,1.0,Флаттершай
Орочимару,1.0,Сакура Харуно
Ронни Риччи,1.0,Том Реддл
Гарри Поттер,2.0,Таня
Максин Колфилд,1.0,Хлоя Прайс
Рэйчел Эмбер,2.0,Хлоя Прайс
Северус Снейп,1.0,гермиона грейнджер
Гермиона Грейнджер,9.0,Флёр Делакур
Гарри Поттер,4.0,Рубеус Хагрид
Майкрофт Холмс,1.0,Миллисент Бэгнольд
Виктор Гевиксман,1.0,Федор Игнатьев
Дмитрий Хинтер,1.0,Мирон Фёдоров
fem!Слава Карелин,1.0,fem!Эрнесто Заткнитесь
Олег Савченко,1.0,Роман Англичанин
Рон Уизли,6.0,Том Марволо Реддл
Том Марволо Реддл,2.0,Том Марволо Реддл
Люциус Малфой,6.0,Рон Уизли
Иккинг,1.0,Ледяной Джек
Гермиона Грейнджер\Гарри Поттер,1.0,Драко Малфой
Беллами,1.0,Кларк
Беллатриса,2.0,Темный Лорд
Моника Велула Геллер-Бинг,2.0,Чендлер Мюриэл Бинг
Дэн,4.0,Том Марволо Реддл
Гермиона.,4.0,Фред
Невилл,6.0,Ханна
Беллатрикс Блэк,1.0,Северус Снейп
Винсент КрЭбб,1.0,Луна Лавгуд
 Гермиона Грейнджер,2.0,Люциус Малфой
